date,group name,rank,last rank,up down,total messages,Datedifference,"count of the hashtag ""#FIVE""","count of the hashtag ""#FOUR""","count of the hashtag ""#Three""","count of the hashtag ""#SceneType""",score,total titles
2025-07-29,Alex Coal,1,1,0,9832,14,42,20,5,64,544.868804664723,70
2025-07-29,Millie Morgan,2,2,0,5353,11,40,17,6,60,506.3570034895278,61
2025-07-29,Katrina Colt,3,3,0,6098,5,37,22,2,58,498.2021969080553,58
2025-07-29,Eva Lovia,4,4,0,8390,75,31,18,2,48,419.5129522923897,48
2025-07-29,Jia Lissa,5,5,0,4627,26,31,12,3,41,387.3999393899138,43
2025-07-29,Chanel Camryn,6,6,0,4695,48,26,22,2,50,386.1484016017194,43
2025-07-29,Adriana Chechik,7,7,0,6953,28,31,11,2,41,383.7365293786932,39
2025-07-29,Abigail Mac,8,8,0,7117,35,25,15,2,39,343.80129084064174,41
2025-07-29,Aidra Fox,9,9,0,6438,123,23,18,4,41,338.8278898912814,49
2025-07-29,Octavia Red,10,10,0,4318,13,22,19,5,46,334.27516386073205,47
2025-07-29,Antonia Sainz,11,11,0,4106,21,25,8,1,29,304.9429233276479,36
2025-07-29,Jessica Ryan,12,12,0,3156,35,21,16,1,35,303.77260898547496,38
2025-07-29,Alexis Crystal,13,13,0,3696,59,21,14,5,36,297.97198177190205,36
2025-07-29,Kira Queen,14,14,0,4246,68,13,29,9,49,297.400184321084,53
2025-07-29,Tori Black,15,15,0,3817,188,26,4,0,23,291.21458283417985,31
2025-07-29,Cassidy Klein,16,16,0,7842,108,20,14,3,31,289.4745390193739,37
2025-07-29,Josephine Jackson,17,17,0,3057,46,18,17,3,36,280.5115675120449,36
2025-07-29,Sybil A,18,18,0,3955,43,22,8,6,34,279.4686434727326,36
2025-07-29,Vintage,19,19,0,1016,62,14,24,9,0,279.2024566655675,120
2025-07-29,Lady Lyne,20,20,0,3116,26,17,18,4,35,276.86312083824583,39
2025-07-29,Cory Chase,21,21,0,6072,67,20,11,4,36,274.2719625569628,36
2025-07-29,Laney Grey,22,22,0,2978,13,20,11,3,32,270.9122671967776,33
2025-07-29,Nephael,23,23,0,359,8,21,8,1,28,261.3214024770666,9
2025-07-29,Anya Olsen,24,24,0,5493,22,18,12,4,33,259.33904582407183,35
2025-07-29,Aubree Valentine,25,25,0,3420,66,18,12,4,36,256.5892249262834,34
2025-07-29,Cadence Lux,26,26,0,2365,91,18,10,1,28,242.1517665883045,29
2025-07-29,Little Caprice,27,27,0,1574,35,17,12,0,27,241.16357725235858,26
2025-07-29,Ella Hughes,28,28,0,6182,14,15,14,2,30,238.15643688604118,29
2025-07-29,Lily LaBeau,29,29,0,4312,8,19,6,0,22,234.3419476357322,25
2025-07-29,Anita Rover,30,30,0,1233,22,13,18,3,26,234.0062549371719,24
2025-07-29,Serenity Cox,31,31,0,819,22,17,8,1,20,221.58518089323374,12
2025-07-29,Betzz,32,32,0,3257,14,17,7,1,20,219.18145722778243,25
2025-07-29,Flashing Emma,33,33,0,226,28,18,3,0,4,204.89458470822944,1
2025-07-29,REBECCA VOLPETTI,34,34,0,3038,13,11,14,5,21,197.97329242053675,29
2025-07-29,CHARLIE FORDE,35,35,0,1976,13,14,8,1,20,192.8931459599997,20
2025-07-29,Crystal Clark,36,36,0,3774,12,12,10,6,27,189.73644575812423,28
2025-07-29,Full Movies,37,37,0,873,11,8,18,3,0,183.8004534488444,58
2025-07-29,Stacy Cruz,38,38,0,2852,105,12,9,3,24,179.44300635516322,26
2025-07-29,Lexi Luna,39,40,1,2789,45,11,10,4,23,176.25356543872925,28
2025-07-29,Olive Glass,40,39,-1,2503,26,10,12,4,24,176.2396464688398,28
2025-07-29,Jessie and Jackson,41,41,0,47,34,13,6,1,9,170.62506256716333,1
2025-07-29,Melissa sexy hippies,42,42,0,99,13,15,2,0,15,169.98407354340085,1
2025-07-29,Katie Kush,43,43,0,2880,22,9,13,1,24,168.68139732936066,23
2025-07-29,Brett Rossi,44,44,0,3171,258,13,5,2,20,166.53713642844096,20
2025-07-29,Nikita Bellucci,45,45,0,266,8,10,9,1,18,156.22681338023992,7
2025-07-29,Kenzie Love,46,46,0,2608,12,10,8,2,20,154.55052224307136,22
2025-07-29,Lexi Dona,47,47,0,2405,46,11,6,1,15,152.84842674719545,18
2025-07-29,Lily Lou,48,48,0,1791,25,10,8,1,19,152.53005773970636,19
2025-07-29,Dolly Dyson,49,49,0,1533,43,8,11,1,19,147.00525860698806,18
2025-07-29,Penny Barber,50,50,0,1925,28,5,16,5,26,146.62261562767614,27
2025-07-29,Sarah Vandella,51,51,0,2773,97,11,5,0,15,146.47927455301544,16
2025-07-29,Cherry Kiss,52,52,0,2889,138,6,13,7,26,142.99958901379915,29
2025-07-29,Gal Ritchie,53,53,0,1392,22,10,5,1,15,137.16797178013366,16
2025-07-29,Britney Amber,54,54,0,2281,22,9,7,0,17,137.07216217883177,15
2025-07-29,EMILY THORNE,55,55,0,702,144,9,7,2,19,135.6877560509267,19
2025-07-29,Laure Zecchi,56,56,0,309,34,8,9,0,13,134.8915393775783,12
2025-07-29,Helena Valle,57,57,0,2140,188,9,7,0,14,134.50892783011147,16
2025-07-29,Annie King,58,58,0,2086,46,7,10,1,18,132.5239759742093,18
2025-07-29,Calita Fire,59,59,0,982,35,10,4,0,13,130.56146171126827,15
2025-07-29,Dani Daniels,60,60,0,885,75,11,2,0,10,129.87971388718222,12
2025-07-29,Jadilica - Leo Ahsoka,61,61,0,1980,26,6,11,0,20,126.70770993507249,19
2025-07-29,Casey Calvert,62,62,0,1840,26,9,4,1,14,122.56531774630112,15
2025-07-29,Angel Young💋,63,63,0,1083,28,8,5,1,13,116.76622832092269,9
2025-07-29,Lena Paul,64,64,0,2128,172,8,5,1,14,115.72995893696314,17
2025-07-29,Amirah Adara,65,65,0,1988,8,7,6,2,12,113.97823730212764,16
2025-07-29,Angela White,66,66,0,988,28,3,12,1,14,101.6696050499707,14
2025-07-29,Lilith - Berta Lusty - Felice Morgan,67,67,0,826,14,7,4,0,11,100.70891857847404,11
2025-07-29,Bonnie Blue,68,68,0,191,22,6,5,3,10,97.94645021788793,3
2025-07-29,Emma Klein,69,69,0,887,11,5,7,2,14,97.81469266772152,11
2025-07-29,Joanna Angel,70,70,0,881,8,8,1,0,9,95.85232192377126,10
2025-07-29,Cherie Deville,71,71,0,911,22,5,6,1,12,91.67875290299776,12
2025-07-29,Eve Sweet,72,72,0,957,13,7,2,0,8,90.85673424315675,9
2025-07-29,Lea Pam,73,73,0,121,26,6,4,0,10,89.81694508560136,4
2025-07-29,Tiffany Leiddi,74,74,0,252,13,5,5,3,11,88.1396878639867,12
2025-07-29,Andi Rose,75,75,0,439,7,6,3,0,8,85.41734670155404,11
2025-07-29,Paige Owens,76,76,0,1768,43,5,4,1,12,82.24427406671143,12
2025-07-29,Sumiko,77,77,0,1549,12,4,6,0,7,81.47342704372228,10
2025-07-29,Hailey Rose,78,78,0,952,48,4,6,1,11,81.34144472621084,12
2025-07-29,Julia Roca,79,79,0,556,46,1,11,5,7,79.96783276835086,6
2025-07-29,Helena Price,80,80,0,1970,74,5,3,2,9,77.99783060963547,10
2025-07-29,poppynzach,81,81,0,20,13,3,7,0,9,74.9037236654513,1
2025-07-29,Mia Malkova,82,82,0,997,264,5,3,2,9,74.23852559738297,11
2025-07-29,Layla Scarlet,83,83,0,778,259,6,1,1,7,73.08866982803815,8
2025-07-29,Mia melano,84,84,0,194,393,6,1,0,6,69.54133821376976,8
2025-07-29,Riley Reid,85,85,0,637,92,5,2,0,6,69.37966288456566,5
2025-07-29,annaplusone,86,86,0,13,109,6,0,0,2,68.49718714639174,1
2025-07-29,Freya Parker,87,87,0,1056,138,2,7,3,12,67.13526842795702,12
2025-07-29,Aaliyah Love,88,88,0,1098,104,3,5,1,9,65.67361290674586,9
2025-07-29,Agatha Vega,89,89,0,507,74,5,1,1,6,65.50983223697476,6
2025-07-29,Nicole Emma Vaunt,90,90,0,624,22,4,3,0,6,65.38684891601648,7
2025-07-29,Charlotte Stokely,91,91,0,431,22,5,1,0,5,65.19055111292454,6
2025-07-29,Addison Lee,92,92,0,742,229,3,5,0,8,62.48937247803923,9
2025-07-29,Ophelia Kaan,93,93,0,893,46,2,6,0,8,60.31059110846478,8
2025-07-29,Ana B,94,94,0,452,104,4,2,0,4,59.01657466427231,6
2025-07-29,Marie Berger,95,95,0,580,287,3,4,0,6,56.47912332432683,7
2025-07-29,Savvy Suxx,96,96,0,479,63,3,3,1,6,55.64170365344789,7
2025-07-29,Nikki Zee,97,97,0,454,21,2,5,0,7,55.22852137484077,7
2025-07-29,Olivia Sparkle,98,98,0,753,67,4,1,0,5,54.86207647071382,5
2025-07-29,Chloe Duval,99,99,0,65,91,2,5,1,7,54.812466344203614,3
2025-07-29,Jeny Smith,100,100,0,39,252,1,7,3,2,54.43908330506444,11
2025-07-29,maitland ward,101,101,0,685,313,3,3,1,6,52.20690871954966,8
2025-07-29,Vanna Bardot,102,102,0,692,85,3,2,2,7,51.53764348933808,9
2025-07-29,Molly Little,103,103,0,664,211,1,6,3,9,50.67243035770626,15
2025-07-29,Sata Jones,104,104,0,594,11,2,4,0,5,50.51668615836431,6
2025-07-29,Sloan Harper,105,105,0,1478,137,3,2,0,5,49.57905642787163,5
2025-07-29,Ava Moore,106,106,0,288,46,1,5,1,2,45.69525343555998,2
2025-07-29,Sharon White,107,107,0,388,13,3,1,0,4,45.27801170450745,4
2025-07-29,Innocent hotwife,108,108,0,146,13,2,3,0,5,45.031876635345526,1
2025-07-29,Jane Wilde,109,109,0,374,43,3,1,0,4,44.82645470137375,4
2025-07-29,Theodora Day,110,110,0,634,168,3,1,1,5,44.26873990326108,5
2025-07-29,Eden Moore,111,111,0,170,144,2,3,0,3,43.14666573359554,5
2025-07-29,Lullabyebye,112,112,0,100,152,3,1,0,8,42.95885156340811,3
2025-07-29,Lena Coxx,113,113,0,369,43,3,0,1,4,40.821369266060486,4
2025-07-29,LaSirena69,114,114,0,678,26,2,2,0,4,40.38346257949885,4
2025-07-29,Leya Desantis,115,115,0,504,47,2,2,0,4,39.90036698161771,4
2025-07-29,Amelia Ost,116,116,0,1230,126,1,4,0,4,39.4871686905612,5
2025-07-29,Kinuski,117,117,0,456,75,1,4,0,5,39.443383537304264,6
2025-07-29,Alexa Tomas,118,118,0,451,202,2,2,0,4,37.58698614863823,4
